y_true,y_pred,no toxic,toxic
1,1.0,0.06141,0.93859
1,0.0,0.95486,0.04514
0,0.0,0.9848,0.0152
1,0.0,0.92026,0.07974
0,1.0,0.36401,0.63599
0,0.0,0.99258,0.00742
0,0.0,0.96319,0.03681
1,1.0,0.00587,0.99413
1,1.0,0.32943,0.67057
1,1.0,0.00556,0.99444
0,0.0,0.52629,0.47371
0,1.0,0.04557,0.95443
0,0.0,0.89857,0.10143
1,1.0,0.01752,0.98248
0,0.0,0.9995,0.0005
1,1.0,0.0939,0.9061
1,1.0,0.02627,0.97373
1,1.0,0.04207,0.95793
0,0.0,0.90946,0.09054
1,1.0,0.04649,0.95351
0,0.0,0.53641,0.46359
1,1.0,0.01042,0.98958
0,0.0,0.99922,0.00078
1,1.0,0.01826,0.98174
1,1.0,0.01296,0.98704
1,1.0,0.00888,0.99112
1,1.0,0.0908,0.9092
1,1.0,0.068,0.932
1,1.0,0.0197,0.9803
1,1.0,0.12993,0.87007
1,1.0,0.0733,0.9267
1,1.0,0.01206,0.98794
0,0.0,0.99719,0.00281
1,1.0,0.00892,0.99108
0,1.0,0.17515,0.82485
1,1.0,0.03834,0.96166
1,1.0,0.02669,0.97331
0,0.0,0.99923,0.00077
0,0.0,0.99385,0.00615
1,1.0,0.06854,0.93146
0,0.0,0.99849,0.00151
1,1.0,0.04398,0.95602
1,1.0,0.00477,0.99523
1,1.0,0.03832,0.96168
1,1.0,0.00438,0.99562
0,0.0,0.9689,0.0311
1,1.0,0.43795,0.56205
0,0.0,0.99425,0.00575
1,1.0,0.05123,0.94877
0,0.0,0.99742,0.00258
1,1.0,0.01784,0.98216
1,1.0,0.06921,0.93079
1,1.0,0.0554,0.9446
0,1.0,0.15294,0.84706
0,0.0,0.948,0.052
1,1.0,0.02439,0.97561
1,1.0,0.02866,0.97134
1,1.0,0.00941,0.99059
1,0.0,0.85434,0.14566
0,1.0,0.00728,0.99272
1,1.0,0.01461,0.98539
1,1.0,0.32992,0.67008
1,1.0,0.03632,0.96368
1,1.0,0.04307,0.95693
1,1.0,0.05841,0.94159
1,1.0,0.11586,0.88414
1,1.0,0.01202,0.98798
0,0.0,0.90798,0.09202
0,1.0,0.03256,0.96744
0,0.0,0.99938,0.00062
0,0.0,0.99563,0.00437
0,1.0,0.14244,0.85756
1,0.0,0.99882,0.00118
1,1.0,0.05577,0.94423
1,1.0,0.04225,0.95775
1,1.0,0.0038,0.9962
0,0.0,0.99921,0.00079
1,1.0,0.01086,0.98914
1,1.0,0.02891,0.97109
1,1.0,0.01974,0.98026
1,1.0,0.0114,0.9886
1,1.0,0.03347,0.96653
1,1.0,0.03718,0.96282
1,1.0,0.04933,0.95067
1,1.0,0.09084,0.90916
1,1.0,0.0083,0.9917
0,0.0,0.97151,0.02849
0,1.0,0.04672,0.95328
1,1.0,0.03404,0.96596
0,1.0,0.27079,0.72921
0,0.0,0.99388,0.00612
1,0.0,0.82359,0.17641
0,0.0,0.99853,0.00147
1,1.0,0.05561,0.94439
1,1.0,0.01285,0.98715
0,1.0,0.11,0.89
0,1.0,0.03191,0.96809
1,1.0,0.02789,0.97211
1,1.0,0.02144,0.97856
1,1.0,0.0032,0.9968
1,1.0,0.06373,0.93627
0,0.0,0.99398,0.00602
1,1.0,0.01191,0.98809
1,1.0,0.03582,0.96418
1,1.0,0.0399,0.9601
0,0.0,0.98804,0.01196
0,0.0,0.9991,0.0009
1,1.0,0.00959,0.99041
1,1.0,0.0151,0.9849
1,1.0,0.02726,0.97274
1,1.0,0.03035,0.96965
0,0.0,0.99759,0.00241
0,0.0,0.78181,0.21819
1,1.0,0.03678,0.96322
0,1.0,0.0439,0.9561
1,1.0,0.05391,0.94609
0,0.0,0.98999,0.01001
1,0.0,0.82282,0.17718
0,1.0,0.00799,0.99201
1,1.0,0.10485,0.89515
1,1.0,0.06185,0.93815
0,0.0,0.8264,0.1736
1,1.0,0.00374,0.99626
0,1.0,0.05999,0.94001
0,1.0,0.03952,0.96048
1,1.0,0.10022,0.89978
0,1.0,0.12771,0.87229
0,0.0,0.91233,0.08767
1,1.0,0.02755,0.97245
0,0.0,0.86924,0.13076
0,0.0,0.99972,0.00028
1,1.0,0.01651,0.98349
1,1.0,0.00539,0.99461
1,1.0,0.01479,0.98521
1,1.0,0.04051,0.95949
1,1.0,0.07195,0.92805
1,1.0,0.20203,0.79797
1,0.0,0.85776,0.14224
0,0.0,0.99666,0.00334
1,1.0,0.11819,0.88181
0,0.0,0.71218,0.28782
0,1.0,0.13577,0.86423
1,1.0,0.35965,0.64035
1,1.0,0.0058,0.9942
1,1.0,0.06573,0.93427
1,1.0,0.01633,0.98367
1,1.0,0.01886,0.98114
0,0.0,0.94502,0.05498
1,1.0,0.05866,0.94134
0,0.0,0.50499,0.49501
0,0.0,0.95756,0.04244
1,1.0,0.00516,0.99484
1,1.0,0.02505,0.97495
0,0.0,0.97618,0.02382
1,1.0,0.23449,0.76551
1,1.0,0.00392,0.99608
1,1.0,0.01054,0.98946
1,1.0,0.07838,0.92162
1,1.0,0.00376,0.99624
1,1.0,0.03733,0.96267
1,1.0,0.05398,0.94602
1,1.0,0.03428,0.96572
0,0.0,0.6332,0.3668
1,1.0,0.03956,0.96044
1,1.0,0.01426,0.98574
1,1.0,0.30617,0.69383
1,1.0,0.00664,0.99336
1,1.0,0.06869,0.93131
1,1.0,0.10859,0.89141
0,0.0,0.52418,0.47582
1,1.0,0.00504,0.99496
0,0.0,0.99542,0.00458
1,1.0,0.01933,0.98067
1,1.0,0.00545,0.99455
1,0.0,0.75209,0.24791
1,1.0,0.05926,0.94074
1,1.0,0.00993,0.99007
0,1.0,0.04492,0.95508
1,1.0,0.00721,0.99279
1,1.0,0.00803,0.99197
1,1.0,0.00762,0.99238
0,0.0,0.99902,0.00098
1,1.0,0.03214,0.96786
0,0.0,0.99823,0.00177
0,0.0,0.99036,0.00964
0,0.0,0.98596,0.01404
0,0.0,0.9971,0.0029
1,1.0,0.03922,0.96078
1,1.0,0.03764,0.96236
0,0.0,0.73128,0.26872
0,1.0,0.26798,0.73202
0,0.0,0.99939,0.00061
1,1.0,0.00616,0.99384
1,1.0,0.01232,0.98768
1,1.0,0.00926,0.99074
1,1.0,0.01161,0.98839
1,1.0,0.00945,0.99055
1,1.0,0.02161,0.97839
0,0.0,0.62592,0.37408
0,1.0,0.28431,0.71569
0,0.0,0.71811,0.28189
0,0.0,0.99945,0.00055
0,0.0,0.99908,0.00092
1,1.0,0.03557,0.96443
1,0.0,0.98792,0.01208
0,0.0,0.99823,0.00177
1,0.0,0.92712,0.07288
1,1.0,0.05254,0.94746
0,1.0,0.04005,0.95995
1,1.0,0.00977,0.99023
1,1.0,0.0139,0.9861
0,0.0,0.60572,0.39428
1,1.0,0.00939,0.99061
0,0.0,0.99104,0.00896
1,1.0,0.14431,0.85569
1,1.0,0.0117,0.9883
0,1.0,0.25054,0.74946
0,0.0,0.96563,0.03437
1,1.0,0.26917,0.73083
0,1.0,0.09787,0.90213
1,1.0,0.01011,0.98989
1,1.0,0.01581,0.98419
1,1.0,0.03898,0.96102
1,1.0,0.00546,0.99454
1,1.0,0.03375,0.96625
1,1.0,0.03773,0.96227
1,1.0,0.06353,0.93647
1,1.0,0.00471,0.99529
1,1.0,0.00432,0.99568
1,1.0,0.00682,0.99318
1,1.0,0.02704,0.97296
1,1.0,0.05036,0.94964
1,1.0,0.12329,0.87671
1,1.0,0.04482,0.95518
1,1.0,0.14992,0.85008
0,1.0,0.01852,0.98148
1,1.0,0.03985,0.96015
1,1.0,0.03353,0.96647
1,1.0,0.09759,0.90241
1,1.0,0.11272,0.88728
1,1.0,0.09355,0.90645
0,0.0,0.99774,0.00226
0,0.0,0.98331,0.01669
1,1.0,0.06132,0.93868
0,1.0,0.09345,0.90655
1,0.0,0.74867,0.25133
1,1.0,0.02828,0.97172
0,1.0,0.20298,0.79702
1,1.0,0.01556,0.98444
0,1.0,0.22649,0.77351
1,1.0,0.41241,0.58759
1,1.0,0.01854,0.98146
1,0.0,0.99932,0.00068
0,1.0,0.43331,0.56669
1,1.0,0.0036,0.9964
1,1.0,0.00371,0.99629
1,1.0,0.01694,0.98306
1,1.0,0.22815,0.77185
1,0.0,0.87188,0.12812
0,1.0,0.09857,0.90143
1,1.0,0.11741,0.88259
1,1.0,0.00452,0.99548
1,1.0,0.01373,0.98627
0,0.0,0.68681,0.31319
0,0.0,0.65042,0.34958
1,1.0,0.00551,0.99449
1,1.0,0.1018,0.8982
0,0.0,0.98924,0.01076
0,0.0,0.99804,0.00196
1,1.0,0.04273,0.95727
1,1.0,0.00867,0.99133
1,1.0,0.14975,0.85025
1,1.0,0.014,0.986
1,1.0,0.36331,0.63669
0,1.0,0.01569,0.98431
0,0.0,0.97056,0.02944
0,1.0,0.45437,0.54563
1,1.0,0.00925,0.99075
1,1.0,0.00467,0.99533
1,1.0,0.00691,0.99309
0,0.0,0.99922,0.00078
1,1.0,0.02841,0.97159
1,1.0,0.02983,0.97017
0,0.0,0.88933,0.11067
1,1.0,0.04099,0.95901
1,1.0,0.0064,0.9936
0,1.0,0.12725,0.87275
0,1.0,0.24993,0.75007
0,1.0,0.01494,0.98506
0,1.0,0.14734,0.85266
1,1.0,0.01116,0.98884
0,1.0,0.47085,0.52915
1,1.0,0.01936,0.98064
1,1.0,0.00885,0.99115
0,1.0,0.03772,0.96228
1,1.0,0.00604,0.99396
1,1.0,0.0171,0.9829
1,1.0,0.00776,0.99224
1,1.0,0.01614,0.98386
1,1.0,0.01557,0.98443
1,1.0,0.00752,0.99248
0,0.0,0.97825,0.02175
1,1.0,0.2243,0.7757
0,1.0,0.39938,0.60062
1,1.0,0.00503,0.99497
0,0.0,0.99617,0.00383
0,1.0,0.04049,0.95951
0,0.0,0.98354,0.01646
0,1.0,0.42928,0.57072
1,1.0,0.02777,0.97223
0,1.0,0.21234,0.78766
1,1.0,0.01065,0.98935
1,1.0,0.04359,0.95641
1,1.0,0.01721,0.98279
1,1.0,0.01327,0.98673
1,1.0,0.04311,0.95689
0,0.0,0.99588,0.00412
1,1.0,0.03571,0.96429
1,1.0,0.02776,0.97224
0,0.0,0.99926,0.00074
1,1.0,0.01995,0.98005
1,1.0,0.07449,0.92551
0,0.0,0.99165,0.00835
0,1.0,0.05455,0.94545
1,1.0,0.1303,0.8697
1,1.0,0.07602,0.92398
0,0.0,0.98954,0.01046
1,0.0,0.97408,0.02592
0,0.0,0.81761,0.18239
1,1.0,0.03946,0.96054
1,1.0,0.01919,0.98081
1,1.0,0.22598,0.77402
1,1.0,0.35912,0.64088
0,1.0,0.4002,0.5998
0,0.0,0.9993,0.0007
1,1.0,0.06253,0.93747
1,0.0,0.98933,0.01067
0,1.0,0.037,0.963
1,1.0,0.02589,0.97411
0,0.0,0.99665,0.00335
1,1.0,0.0041,0.9959
0,1.0,0.22514,0.77486
1,1.0,0.00692,0.99308
0,0.0,0.93924,0.06076
1,1.0,0.0215,0.9785
0,0.0,0.9119,0.0881
1,1.0,0.01811,0.98189
1,1.0,0.08288,0.91712
1,1.0,0.01036,0.98964
0,1.0,0.02698,0.97302
1,1.0,0.00671,0.99329
1,1.0,0.09291,0.90709
0,0.0,0.93447,0.06553
0,0.0,0.93111,0.06889
1,1.0,0.01351,0.98649
1,1.0,0.0284,0.9716
1,1.0,0.09766,0.90235
1,1.0,0.03046,0.96954
0,1.0,0.02621,0.97379
0,1.0,0.31458,0.68542
1,1.0,0.02308,0.97692
1,1.0,0.05822,0.94178
1,1.0,0.01951,0.98049
0,0.0,0.99882,0.00118
0,0.0,0.81605,0.18395
1,1.0,0.00443,0.99557
1,1.0,0.0135,0.9865
0,1.0,0.02208,0.97792
0,0.0,0.97931,0.02069
1,1.0,0.07556,0.92444
1,1.0,0.011,0.989
0,1.0,0.04169,0.95831
1,1.0,0.24044,0.75956
0,0.0,0.98645,0.01355
1,1.0,0.04801,0.95199
0,1.0,0.09651,0.90349
1,1.0,0.15991,0.84009
1,1.0,0.06329,0.93671
0,1.0,0.28587,0.71413
0,0.0,0.95987,0.04013
1,1.0,0.02097,0.97903
1,1.0,0.01437,0.98563
0,0.0,0.95204,0.04796
0,1.0,0.03183,0.96817
0,0.0,0.85662,0.14338
0,1.0,0.05841,0.94159
1,1.0,0.01006,0.98994
0,0.0,0.99455,0.00545
1,0.0,0.99475,0.00525
1,1.0,0.02177,0.97823
1,1.0,0.28755,0.71245
1,1.0,0.00633,0.99367
0,0.0,0.99855,0.00145
0,0.0,0.99806,0.00194
1,1.0,0.02154,0.97846
0,0.0,0.99341,0.00659
0,0.0,0.9861,0.0139
0,1.0,0.13162,0.86838
1,1.0,0.10616,0.89384
0,1.0,0.0454,0.9546
1,1.0,0.02495,0.97505
0,0.0,0.76095,0.23905
0,1.0,0.14793,0.85207
0,1.0,0.29312,0.70688
0,0.0,0.99243,0.00757
1,1.0,0.0489,0.9511
1,1.0,0.01118,0.98882
1,1.0,0.04215,0.95785
1,1.0,0.04732,0.95268
1,1.0,0.01986,0.98014
1,1.0,0.06826,0.93174
1,0.0,0.67708,0.32292
1,1.0,0.00309,0.99691
1,1.0,0.0102,0.9898
1,1.0,0.08978,0.91022
1,0.0,0.85687,0.14313
1,1.0,0.00371,0.99629
1,1.0,0.01376,0.98624
0,1.0,0.11591,0.88409
1,1.0,0.02898,0.97102
1,1.0,0.16039,0.83961
0,1.0,0.03377,0.96623
1,1.0,0.04855,0.95145
0,1.0,0.03911,0.96089
1,1.0,0.02289,0.97711
0,1.0,0.11969,0.88031
1,1.0,0.0093,0.9907
1,0.0,0.96338,0.03662
0,0.0,0.99188,0.00812
0,0.0,0.70598,0.29402
1,1.0,0.07535,0.92465
0,0.0,0.98347,0.01653
1,1.0,0.01955,0.98045
1,1.0,0.01327,0.98673
0,0.0,0.91058,0.08942
0,0.0,0.97556,0.02444
1,1.0,0.00774,0.99226
0,0.0,0.99811,0.00189
0,1.0,0.02364,0.97636
0,0.0,0.97812,0.02188
1,1.0,0.20523,0.79477
1,1.0,0.00598,0.99402
1,1.0,0.0058,0.9942
0,0.0,0.99706,0.00294
1,1.0,0.03807,0.96193
0,1.0,0.08895,0.91105
1,1.0,0.26736,0.73264
1,1.0,0.00618,0.99382
1,1.0,0.01185,0.98815
0,0.0,0.79873,0.20127
0,1.0,0.10977,0.89023
1,1.0,0.07821,0.92179
1,1.0,0.00695,0.99305
1,1.0,0.15029,0.84971
0,1.0,0.00317,0.99683
1,0.0,0.82932,0.17068
1,1.0,0.00701,0.99299
1,1.0,0.07811,0.92189
1,0.0,0.95107,0.04893
1,1.0,0.01131,0.98869
0,0.0,0.99122,0.00878
0,0.0,0.99694,0.00306
1,1.0,0.01344,0.98656
0,0.0,0.99359,0.00641
0,1.0,0.0216,0.9784
1,1.0,0.00987,0.99013
0,0.0,0.99715,0.00285
0,1.0,0.02958,0.97042
1,1.0,0.2664,0.7336
1,1.0,0.00546,0.99454
1,1.0,0.00348,0.99652
1,1.0,0.00499,0.99501
0,0.0,0.99453,0.00547
0,1.0,0.20432,0.79568
0,1.0,0.06918,0.93082
0,1.0,0.03316,0.96684
0,0.0,0.86466,0.13534
1,1.0,0.02468,0.97532
1,1.0,0.01568,0.98432
0,0.0,0.97137,0.02863
0,0.0,0.54006,0.45994
0,0.0,0.5999,0.4001
0,1.0,0.01734,0.98266
1,1.0,0.00751,0.99249
1,1.0,0.04316,0.95684
1,0.0,0.97547,0.02453
0,0.0,0.99863,0.00137
1,0.0,0.95336,0.04664
0,1.0,0.28812,0.71188
0,0.0,0.99268,0.00732
1,1.0,0.01812,0.98188
1,1.0,0.08599,0.91401
1,1.0,0.03394,0.96606
1,0.0,0.84891,0.15109
1,1.0,0.07578,0.92422
0,0.0,0.99822,0.00178
0,0.0,0.85682,0.14318
0,0.0,0.99773,0.00227
1,1.0,0.01865,0.98135
0,1.0,0.10509,0.89491
0,1.0,0.08558,0.91442
0,0.0,0.99916,0.00084
1,1.0,0.0929,0.9071
0,0.0,0.96974,0.03026
0,1.0,0.01889,0.98111
1,1.0,0.09794,0.90206
1,1.0,0.0143,0.9857
0,1.0,0.07054,0.92946
1,1.0,0.08255,0.91745
0,0.0,0.9946,0.0054
0,0.0,0.99693,0.00307
1,1.0,0.01378,0.98622
1,1.0,0.02041,0.97959
1,1.0,0.05854,0.94146
0,0.0,0.95652,0.04348
0,1.0,0.00647,0.99353
0,1.0,0.08887,0.91113
0,1.0,0.08768,0.91232
0,1.0,0.0408,0.9592
1,1.0,0.01711,0.98289
0,1.0,0.09568,0.90432
0,0.0,0.93862,0.06138
0,0.0,0.96425,0.03575
1,1.0,0.0052,0.9948
1,1.0,0.00983,0.99017
0,0.0,0.99795,0.00205
1,1.0,0.03926,0.96074
0,1.0,0.43917,0.56083
1,1.0,0.01731,0.98269
1,0.0,0.54985,0.45015
0,1.0,0.1921,0.8079
1,1.0,0.01796,0.98204
0,0.0,0.95784,0.04216
0,0.0,0.99807,0.00193
0,1.0,0.39604,0.60396
0,1.0,0.25699,0.74301
0,0.0,0.98034,0.01966
1,1.0,0.00857,0.99143
0,0.0,0.64881,0.35119
0,0.0,0.66857,0.33143
1,1.0,0.33956,0.66044
1,1.0,0.04318,0.95682
0,0.0,0.94524,0.05476
1,1.0,0.00603,0.99397
1,1.0,0.01139,0.98861
1,1.0,0.03896,0.96104
1,1.0,0.00449,0.99551
1,1.0,0.00529,0.99471
1,1.0,0.13237,0.86763
1,1.0,0.03834,0.96166
1,1.0,0.00506,0.99494
1,1.0,0.17842,0.82158
1,1.0,0.04461,0.95539
1,0.0,0.99854,0.00146
0,1.0,0.20166,0.79834
0,0.0,0.9616,0.0384
0,0.0,0.60281,0.39719
1,1.0,0.00706,0.99294
0,1.0,0.04165,0.95835
1,1.0,0.01725,0.98275
1,1.0,0.01833,0.98167
0,0.0,0.99373,0.00627
1,1.0,0.1132,0.8868
0,1.0,0.07425,0.92575
0,1.0,0.07934,0.92066
0,1.0,0.39076,0.60924
1,0.0,0.96104,0.03896
1,1.0,0.04325,0.95675
0,0.0,0.95619,0.04381
1,1.0,0.00785,0.99215
1,1.0,0.02543,0.97457
1,1.0,0.17758,0.82242
1,1.0,0.01655,0.98345
0,0.0,0.99121,0.00879
1,1.0,0.10866,0.89134
0,0.0,0.99861,0.00139
1,1.0,0.08175,0.91825
0,0.0,0.99905,0.00095
0,0.0,0.99851,0.00149
1,1.0,0.02305,0.97695
0,0.0,0.98105,0.01895
1,1.0,0.0202,0.9798
0,0.0,0.98993,0.01007
1,1.0,0.2338,0.7662
1,1.0,0.06264,0.93736
1,1.0,0.01615,0.98385
0,0.0,0.92649,0.07351
0,0.0,0.89441,0.10559
0,0.0,0.98444,0.01556
0,0.0,0.98779,0.01221
0,1.0,0.39793,0.60207
1,1.0,0.00368,0.99632
0,0.0,0.90233,0.09766
1,1.0,0.0247,0.9753
1,1.0,0.06289,0.93711
0,0.0,0.92637,0.07363
0,1.0,0.03546,0.96454
1,1.0,0.01266,0.98734
1,1.0,0.00416,0.99584
0,0.0,0.96965,0.03035
1,1.0,0.00461,0.99539
0,1.0,0.26594,0.73406
1,1.0,0.0134,0.9866
1,1.0,0.01267,0.98733
1,1.0,0.05755,0.94245
1,0.0,0.58241,0.41759
1,1.0,0.03249,0.96751
1,1.0,0.03271,0.96729
1,1.0,0.03005,0.96995
0,0.0,0.9916,0.0084
0,0.0,0.99077,0.00923
1,1.0,0.06624,0.93376
0,0.0,0.92728,0.07272
1,1.0,0.12633,0.87367
0,0.0,0.99847,0.00153
0,1.0,0.38022,0.61978
1,1.0,0.26162,0.73838
1,1.0,0.01127,0.98873
1,0.0,0.89237,0.10763
0,1.0,0.11084,0.88916
1,1.0,0.00706,0.99294
0,0.0,0.98888,0.01112
1,1.0,0.00468,0.99532
1,1.0,0.03776,0.96224
1,1.0,0.01184,0.98816
0,0.0,0.56745,0.43255
1,0.0,0.8459,0.1541
0,0.0,0.9946,0.0054
1,1.0,0.0286,0.9714
1,0.0,0.57011,0.42989
0,1.0,0.22164,0.77836
1,1.0,0.00761,0.99239
0,0.0,0.97961,0.02039
1,1.0,0.00516,0.99484
1,1.0,0.00308,0.99692
1,1.0,0.15646,0.84354
1,0.0,0.59,0.41
1,1.0,0.01559,0.98441
1,1.0,0.00428,0.99572
1,1.0,0.05056,0.94944
0,0.0,0.98512,0.01488
0,1.0,0.10745,0.89255
1,1.0,0.00573,0.99427
0,0.0,0.9823,0.0177
0,0.0,0.99599,0.00401
1,1.0,0.00666,0.99334
1,1.0,0.04383,0.95617
1,1.0,0.0322,0.9678
0,1.0,0.04136,0.95864
1,1.0,0.00872,0.99128
0,0.0,0.91787,0.08213
1,1.0,0.00404,0.99596
1,1.0,0.04793,0.95207
0,1.0,0.01456,0.98544
1,1.0,0.01184,0.98816
0,1.0,0.18331,0.81669
0,0.0,0.71891,0.28109
1,0.0,0.67608,0.32392
1,1.0,0.00378,0.99622
1,1.0,0.03696,0.96304
0,1.0,0.22828,0.77172
0,1.0,0.01031,0.98969
1,1.0,0.00517,0.99483
0,0.0,0.93513,0.06487
0,0.0,0.92395,0.07605
1,1.0,0.00659,0.99341
0,0.0,0.9831,0.0169
1,1.0,0.00448,0.99552
0,0.0,0.90666,0.09334
0,0.0,0.98422,0.01578
1,1.0,0.0215,0.9785
0,0.0,0.64579,0.35421
0,0.0,0.98912,0.01088
1,1.0,0.00307,0.99693
0,1.0,0.10804,0.89196
0,0.0,0.99902,0.00098
1,1.0,0.00322,0.99678
0,0.0,0.874,0.126
1,1.0,0.08,0.92
1,0.0,0.59521,0.40479
1,1.0,0.01324,0.98676
1,1.0,0.00693,0.99307
0,0.0,0.99411,0.00589
1,1.0,0.01679,0.98321
1,1.0,0.02875,0.97125
0,0.0,0.99371,0.00629
1,1.0,0.04773,0.95227
0,1.0,0.12579,0.87421
1,1.0,0.0039,0.9961
0,0.0,0.97799,0.02201
1,1.0,0.01188,0.98812
0,0.0,0.97024,0.02976
1,1.0,0.0255,0.9745
1,1.0,0.02179,0.97821
1,1.0,0.01584,0.98416
1,1.0,0.03759,0.96241
1,1.0,0.04764,0.95236
0,0.0,0.97988,0.02012
1,1.0,0.0139,0.9861
1,1.0,0.00424,0.99576
1,1.0,0.04959,0.95041
1,1.0,0.14577,0.85423
0,0.0,0.5232,0.4768
0,1.0,0.13176,0.86824
1,1.0,0.02539,0.97461
0,1.0,0.1152,0.8848
1,1.0,0.00376,0.99624
0,0.0,0.99897,0.00103
0,1.0,0.42602,0.57398
1,1.0,0.00458,0.99542
0,1.0,0.00817,0.99183
0,0.0,0.55002,0.44998
1,1.0,0.0065,0.9935
0,0.0,0.98914,0.01086
1,1.0,0.01546,0.98454
0,1.0,0.05902,0.94098
0,0.0,0.99677,0.00323
1,1.0,0.01699,0.98301
0,1.0,0.25207,0.74793
1,1.0,0.01531,0.98469
1,1.0,0.00759,0.99241
1,1.0,0.00409,0.99591
1,1.0,0.00661,0.99339
0,0.0,0.98206,0.01794
0,0.0,0.9895,0.0105
0,1.0,0.36388,0.63612
0,1.0,0.01502,0.98498
1,1.0,0.06087,0.93913
0,0.0,0.99311,0.00689
0,1.0,0.01569,0.98431
0,1.0,0.13003,0.86997
1,1.0,0.01037,0.98963
0,0.0,0.98336,0.01664
0,0.0,0.99854,0.00146
0,0.0,0.99099,0.00901
0,1.0,0.28891,0.71109
0,0.0,0.94489,0.05511
1,1.0,0.02874,0.97126
1,1.0,0.16302,0.83698
1,1.0,0.10163,0.89837
1,0.0,0.91357,0.08643
1,1.0,0.04219,0.95781
1,1.0,0.02476,0.97524
1,1.0,0.03231,0.96769
0,0.0,0.96254,0.03746
1,1.0,0.03647,0.96353
1,1.0,0.00521,0.99479
0,1.0,0.00683,0.99317
1,1.0,0.19709,0.80291
0,0.0,0.72645,0.27355
0,0.0,0.99627,0.00373
1,1.0,0.0533,0.9467
1,1.0,0.16794,0.83206
1,1.0,0.00536,0.99464
0,1.0,0.10189,0.89811
